ORF	hap a | chromosome instability (ade2-101 + SUP11) | standard [standard] | Yuen KW~Spencer FA, 2007	hom | chromosome instability (diploid bimater) | standard [standard] | Yuen KW~Spencer FA, 2007	hap alpha | chromosome instability (Mat-alpha) | standard [standard] | Yuen KW~Spencer FA, 2007
YDR440W	-1.000	-1.000	2.000
YHR092C	-1.000	-1.000	2.000
YKR024C	-1.000	-1.000	2.000
YDR363W-A	-1.000	-1.000	2.000
YLL005C	-1.000	-1.000	2.000
YML099C	-1.000	-1.000	2.000
YMR008C	-1.000	-1.000	2.000
YLL049W	-1.000	-1.000	2.000
YPL213W	-1.000	-1.000	2.000
YDR191W	-1.000	-1.000	2.000
YML009C	-1.000	-1.000	2.000
YAL008W	-1.000	-1.000	2.000
YJR032W	-1.000	-1.000	2.000
YGR148C	-1.000	-1.000	2.000
YHR093W	-1.000	-1.000	2.000
YLR370C	-1.000	-1.000	2.000
YLR425W	-1.000	-1.000	2.000
YGR102C	-1.000	-1.000	2.000
YGR219W	-1.000	-1.000	2.000
YKR097W	-1.000	-1.000	1.000
YGL117W	-1.000	-1.000	1.000
YGR027C	-1.000	-1.000	1.000
YGR141W	-1.000	-1.000	1.000
YIL137C	-1.000	-1.000	1.000
YLR443W	-1.000	-1.000	1.000
YMR106C	-1.000	-1.000	1.000
YNR048W	-1.000	-1.000	1.000
YNL257C	-1.000	-1.000	1.000
YDR231C	-1.000	-1.000	1.000
YCR095C	-1.000	-1.000	1.000
YDL096C	-1.000	-1.000	1.000
YDL155W	-1.000	-1.000	1.000
YGR153W	-1.000	-1.000	1.000
YHL006C	-1.000	-1.000	1.000
YGR171C	-1.000	-1.000	1.000
YHR204W	-1.000	-1.000	1.000
YFR013W	-1.000	-1.000	1.000
YHR087W	-1.000	-1.000	1.000
YJR053W	-1.000	-1.000	1.000
YML090W	-1.000	-1.000	1.000
YOR058C	-1.000	-1.000	1.000
YDR156W	-1.000	-1.000	1.000
YGR071C	-1.000	-1.000	1.000
YNL089C	-1.000	-1.000	1.000
YOR066W	-1.000	-1.000	1.000
YDL082W	-1.000	-1.000	1.000
YDR171W	-1.000	-1.000	1.000
YCR067C	-1.000	-1.000	1.000
YER156C	-1.000	-1.000	1.000
YHR066W	-1.000	-1.000	1.000
YKL217W	-1.000	-1.000	1.000
YJL047C	NaN	NaN	14.000
YKL055C	NaN	NaN	5.000
YNR042W	NaN	NaN	1.000
YJL075C	NaN	NaN	8.000
YJR060W	NaN	NaN	5.000
YOR014W	NaN	-1.000	18.000
YNL133C	NaN	-1.000	17.000
YIL018W	NaN	-1.000	16.000
YJL127C	NaN	-1.000	12.000
YLR304C	NaN	-1.000	9.000
YDR417C	NaN	-1.000	6.000
YHR194W	NaN	-1.000	5.000
YPR047W	NaN	-1.000	4.000
YDR226W	NaN	-1.000	4.000
YJL124C	NaN	-1.000	4.000
YFL012W-A	NaN	-1.000	3.000
YKR091W	NaN	-1.000	3.000
YKL006W	NaN	-1.000	3.000
YJL102W	NaN	-1.000	1.000
YPR042C	NaN	-1.000	1.000
YKR093W	NaN	-1.000	1.000
YJR154W	NaN	-1.000	1.000
YKR092C	NaN	-1.000	1.000
YJR047C	NaN	-1.000	1.000
YAL016W	NaN	NaN	74.000
YAL019W	NaN	-1.000	2.000
YDR159W	NaN	NaN	4.000
YKL221W	NaN	-1.000	1.000
YIL125W	NaN	-1.000	1.000
YOR241W	-1.000	NaN	12.000
YGR180C	-1.000	NaN	8.000
YER070W	-1.000	NaN	7.000
YPL059W	-1.000	NaN	6.000
YDR350C	-1.000	NaN	5.000
YNL315C	-1.000	NaN	4.000
YPL027W	-1.000	NaN	2.000
YEL013W	-1.000	NaN	2.000
YNL047C	-1.000	NaN	1.000
YDR194C	-1.000	NaN	1.000
YNL213C	-1.000	NaN	12.000
YOR128C	-1.000	NaN	5.000
YEL003W	-1.000	NaN	18.000
YPL022W	-1.000	NaN	4.000
